ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
8452	DogulDomKundialang-89_muslimpraysayorperformonesprayer-1	DogulDomKundialang		(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́ n ɛ̀			0	42	s ɛ́ n - - - - - ɛ̀ - -
8453	DonnoSo-89_muslimpraysayorperformonesprayer-1	DonnoSo		(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù_sɛ́nɛ̀	s ɛ́ n ù - s ɛ́ n ɛ̀			0	42	s ɛ́ n ù - - - s ɛ́ n ɛ̀
8454	Gourou-89_muslimpraysayorperformonesprayer-1	Gourou		(Muslim) pray, say or perform one's prayer	sálù sálá	sálù_sálá	s á l ù - s á l á			0	42	s á l ù - - - s á l á
8455	JamsayDouentza-89_muslimpraysayorperformonesprayer-1	JamsayDouentza		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â l - s á l á			0	42	s â l - - - - s á l á
8456	Mombo-89_muslimpraysayorperformonesprayer-1	Mombo		(Muslim) pray, say or perform one's prayer	sàndì sándé	sàndì_sándé	s à nd ì - s á nd é			0	42	s à nd ì - - - s á nd é
8457	Najamba-89_muslimpraysayorperformonesprayer-1	Najamba		(Muslim) pray, say or perform one's prayer	sân sán	sân_sán	s â n - s á n			0	42	s â n - - - - s á n -
8458	Nanga-89_muslimpraysayorperformonesprayer-1	Nanga		(Muslim) pray, say or perform one's prayer	sándì sándí	sándì_sándí	s á nd ì - s á nd í			0	42	s á nd ì - - - s á nd í
8459	Penange-89_muslimpraysayorperformonesprayer-1	Penange		(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí_kán	s ɛ́ nd í - k á n			0	42	s ɛ́ nd í - - - k á n -
8460	PergeTegu-89_muslimpraysayorperformonesprayer-1	PergeTegu		(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â l - s á l á			0	42	s â l - - - - s á l á
8461	TebulUre-89_muslimpraysayorperformonesprayer-1	TebulUre		(Muslim) pray, say or perform one's prayer	sán sárⁿá (sárⁿátì)	sán_sárⁿá	s á n - s á r.∼ á			0	42	s á n - - - - s á r.∼ á
8462	Tiranige-89_muslimpraysayorperformonesprayer-1	Tiranige		(Muslim) pray, say or perform one's prayer	sà:ní kán(ú)	sà:ní_kánú	s à.à n í - k á n ú			0	42	s à.à n í - - - k á n ú
8463	TogoKan-89_muslimpraysayorperformonesprayer-1	TogoKan		(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ_sárⁿá	s á.∼ - s á r.∼ á			0	42	s á.∼ - - - - - s á r.∼ á
