ID	LOCAL_ID	DOCULECT	VARIETY	CONCEPT	VALUE	FORM	TOKENS	PLURAL_TOKENS	NOTE	SWADESH	COGIDS	ALIGNMENT
9376	YornoSo-89_muslimpraysayorperformonesprayer-1	YornoSo		(Muslim) pray, say or perform one's prayer	sɛ̂n sɛ́rⁿɛ́	sɛ̂n-sɛ́r.∼ɛ́	s ɛ̂ n - s ɛ́ r <<∼>> ɛ́			0	32	s ɛ̂ n - - s ɛ́ r <<∼>> ɛ́
4301	BankanTey-130_actoffasting-1	BankanTey		(act of) fasting	m̀bù:pǎỳ, kɔ́rkà	mbu-̀.ùpǎỳ	mb u - ù p ǎ j			0	45	mb u - ù p ǎ j
4302	BankanTey-130_actoffasting-2	BankanTey		(act of) fasting	m̀bù:pǎỳ, kɔ́rkà	kɔ́-rkà	k ɔ́ - r k à			0	51	k ɔ́ - r k à
4303	BenTey-130_actoffasting-1	BenTey		(act of) fasting	mò:[pàgî:]	mò.òp-à-ɡí.ì	m ò ò p - à - ɡ í ì			0	46	m ò ò p - à - ɡ í ì
4306	JamsayDouentza-130_actoffasting-1	JamsayDouentza		(act of) fasting	kà:[pàgú]	kà.-à-pàɡú	k à - à - p à ɡ ú			0	47	k à - à - p à ɡ ú
4307	Mombo-130_actoffasting-1	Mombo		(act of) fasting	kɔ́rkà	kɔ́-rkà	k ɔ́ - r k à			0	48	k ɔ́ - r k à
4308	Najamba-130_actoffasting-1	Najamba		(act of) fasting	ìbì[págílé]	ìbì-páɡílé	ì b ì - p á ɡ í l é			0	49	ì b ì - p á ɡ í l é
4309	Nanga-130_actoffasting-1	Nanga		(act of) fasting	nɔ̀:pàgí	nɔ̀-.ɔ̀pàɡí	n ɔ̀ - ɔ̀ p à ɡ í			0	47	n ɔ̀ - ɔ̀ - p à ɡ í
4312	PergeTegu-130_actoffasting-1	PergeTegu		(act of) fasting	kà:[pàgú]	kà.-à-pàɡú	k à - à - p à ɡ ú			0	47	k à - à - p à ɡ ú
4315	TogoKan-130_actoffasting-1	TogoKan		(act of) fasting	kàⁿpàgú	kàⁿ-pàɡú	k à ∼ - p à ɡ ú			0	47	k à ∼ - - p à ɡ ú
4316	TommoSoTongoTongo-130_actoffasting-1	TommoSoTongoTongo		(act of) fasting	àŋà pàgú, kɔ́rkà	àŋà-pàɡú	à ŋ à - p à ɡ ú			0	47	- à ŋ à - p à ɡ ú
