ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	POS	CONCEPTICON_GLOSS
15243	Ampari	(1Pl subject pronominal)	ǹ (perfective)	ǹ_	ǹ/n		pronoun	WE
15244	BenTey	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		pronoun	WE
15245	Bunoge	(1Pl subject pronominal)	ŋ́	ŋ́	ŋ́/ŋ		pronoun	WE
15246	DogulDomBendiely	(1Pl subject pronominal)	ó	ó	ó/o		pronoun	WE
15247	DonnoSo	(1Pl subject pronominal)	ŋ, ʸŋ	ŋ	ŋ		pronoun	WE
15248	JamsayDouentza	(1Pl subject pronominal)	y	y	j		pronoun	WE
15249	Mombo	(1Pl subject pronominal)	Ǹ	Ǹ	Ǹ/n		pronoun	WE
15250	Najamba	(1Pl subject pronominal)	y	y	j		pronoun	WE
15251	Nanga	(1Pl subject pronominal)	ỳ∴	ỳ∴	j̀/y		pronoun	WE
15252	Penange	(1Pl subject pronominal)	ŋ̀ (perfective)	ŋ̀_	ŋ̀/ŋ		pronoun	WE
15253	PergeTegu	(1Pl subject pronominal)	y	y	j		pronoun	WE
15254	TebulUre	(1Pl subject pronominal)	yⁿ	yⁿ	yⁿ/ỹ		pronoun	WE
15255	Tiranige	(1Pl subject pronominal)	ní ~ nì V	ní	n í/i		pronoun	WE
15256	TogoKan	(1Pl subject pronominal)	ɛ́mɛ́ (optional, clauseinitial)	ɛ́mɛ́_	ɛ́/ɛ m ɛ́/ɛ		pronoun	WE
15257	TommoSoTongoTongo	(1Pl subject pronominal)	ú	ú	ú/u		pronoun	WE
15258	TomoKanDiangassagou	(1Pl subject pronominal)	à	à	à/a		pronoun	WE
15259	ToroTegu	(1Pl subject pronominal)	í (clauseinitial)	í_	í/i		pronoun	WE
15260	YandaDom	(1Pl subject pronominal)	y	y	j		pronoun	WE
15218	Ampari	(1Sg independent pronoun)	mi	mi	m i		pronoun	I
15219	BenTey	(1Sg independent pronoun)	í	í	í/i		pronoun	I
15220	Bunoge	(1Sg independent pronoun)	mì	mì	m ì/i		pronoun	I
15221	DogulDomBendiely	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15222	DogulDomKundialang	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15223	DonnoSo	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15224	JamsayDouentza	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15225	Najamba	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15226	Nanga	(1Sg independent pronoun)	ǐ:ⁿ	ǐ:ⁿ	ǐ:ⁿ/ĩː		pronoun	I
15227	Penange	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15228	PergeTegu	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15229	TebulUre	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15230	Tiranige	(1Sg independent pronoun)	míwⁿ, mì	míwⁿ	m í/i w̃		pronoun	I
15231	TogoKan	(1Sg independent pronoun)	íⁿ	íⁿ	íⁿ/ĩ		pronoun	I
15232	TommoSoTongoTongo	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15233	TomoKanSegue	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15234	ToroTegu	(1Sg independent pronoun)	mí ~ m̀ᵇí	mí	m í/i		pronoun	I
15235	YandaDom	(1Sg independent pronoun)	mí	mí	m í/i		pronoun	I
15236	YornoSo	(1Sg independent pronoun)	mú	mú	m ú/u		pronoun	I
15237	JamsayDouentza	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15238	PergeTegu	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15239	TogoKan	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15240	TomoKanSegue	(3Pl human pronoun)	bó	bó	b ó/o		pronoun	THEY
15241	ToroTegu	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15242	YornoSo	(3Pl human pronoun)	bé	bé	b é/e		pronoun	THEY
15261	DogulDomBendiely	(3Sg all-purpose subject pronominal)	ná	ná	n á/a		pronoun	HE OR SHE OR IT
15262	TommoSoTongoTongo	(3Sg all-purpose subject pronominal)	wó	wó	w ó/o		pronoun	HE OR SHE OR IT
8476	BenTey	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8477	DogulDomBendiely	(Muslim) pray (verb only)	sɛ̀nɛ́	sɛ̀nɛ́	s ɛ̀/ɛ n ɛ́/ɛ		verb	PRAY
8478	DogulDomKundialang	(Muslim) pray (verb only)	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8479	DonnoSo	(Muslim) pray (verb only)	sɛ́nɛ̀\\sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8480	Gourou	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8481	JamsayDouentza	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8482	Mombo	(Muslim) pray (verb only)	sándé	sándé	s á/a ⁿd é/e		verb	PRAY
8483	Najamba	(Muslim) pray (verb only)	sán	sán	s á/a n		verb	PRAY
8484	Nanga	(Muslim) pray (verb only)	sándí	sándí	s á/a ⁿd í/i		verb	PRAY
8485	PergeTegu	(Muslim) pray (verb only)	sálá	sálá	s á/a l á/a		verb	PRAY
8486	TebulUre	(Muslim) pray (verb only)	sárⁿá (sárⁿátì)	sárⁿá_	s á/a r̃ á/a		verb	PRAY
8487	TogoKan	(Muslim) pray (verb only)	sárⁿá	sárⁿá	s á/a r̃ á/a		verb	PRAY
8488	TommoSoTongoTongo	(Muslim) pray (verb only)	sɛ́nɛ́	sɛ́nɛ́	s ɛ́/ɛ n ɛ́/ɛ		verb	PRAY
8489	YandaDom	(Muslim) pray (verb only)	sán	sán	s á/a n		verb	PRAY
8490	YornoSo	(Muslim) pray (verb only)	sɛ́rⁿɛ́\\sɛ́rⁿɛ́	sɛ́rⁿɛ́	s ɛ́/ɛ r̃ ɛ́/ɛ		verb	PRAY
8456	BankanTey	(Muslim) pray, say or perform one's prayer	jíŋgárú káŋ	jíŋgárú_káŋ	dʒ í/i ŋ ɡ á/a r ú/u + k á/a ŋ		verb	PRAY
8457	BenTey	(Muslim) pray, say or perform one's prayer	sálù sálá, sâl sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		verb	PRAY
8458	Bunoge	(Muslim) pray, say or perform one's prayer	sɛ̀nì kánì	sɛ̀nì_kánì	s ɛ̀/ɛ n ì/i + k á/a n ì/i		verb	PRAY
8459	DogulDomBendiely	(Muslim) pray, say or perform one's prayer	sɛ́ɛ̀n sɛ̀nɛ́	sɛ́ɛ̀n_sɛ̀nɛ́	s ɛ́ɛ̀/ɛː n + s ɛ̀/ɛ n ɛ́/ɛ		verb	PRAY
8460	DogulDomKundialang	(Muslim) pray, say or perform one's prayer	sɛ́nɛ̀	sɛ́nɛ̀	s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8461	DonnoSo	(Muslim) pray, say or perform one's prayer	sɛ́nù sɛ́nɛ̀	sɛ́nù_sɛ́nɛ̀	s ɛ́/ɛ n ù/u + s ɛ́/ɛ n ɛ̀/ɛ		verb	PRAY
8462	Gourou	(Muslim) pray, say or perform one's prayer	sálù sálá	sálù_sálá	s á/a l ù/u + s á/a l á/a		verb	PRAY
8463	JamsayDouentza	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		verb	PRAY
8464	Mombo	(Muslim) pray, say or perform one's prayer	sàndì sándé	sàndì_sándé	s à/a ⁿd ì/i + s á/a ⁿd é/e		verb	PRAY
8465	Najamba	(Muslim) pray, say or perform one's prayer	sân sán	sân_sán	s â/a n + s á/a n		verb	PRAY
8466	Nanga	(Muslim) pray, say or perform one's prayer	sándì sándí	sándì_sándí	s á/a ⁿd ì/i + s á/a ⁿd í/i		verb	PRAY
8467	Penange	(Muslim) pray, say or perform one's prayer	sɛ́ndí kán	sɛ́ndí_kán	s ɛ́/ɛ ⁿd í/i + k á/a n		verb	PRAY
8468	PergeTegu	(Muslim) pray, say or perform one's prayer	sâl sálá	sâl_sálá	s â/a l + s á/a l á/a		verb	PRAY
8469	TebulUre	(Muslim) pray, say or perform one's prayer	sán sárⁿá (sárⁿátì)	sán_sárⁿá_	s á/a n + s á/a r̃ á/a		verb	PRAY
8470	Tiranige	(Muslim) pray, say or perform one's prayer	sà:ní kán(ú)	sà:ní_kán	s à:/aː n í/i + k á/a n		verb	PRAY
8471	TogoKan	(Muslim) pray, say or perform one's prayer	sáⁿ sárⁿá	sáⁿ_sárⁿá	s áⁿ/a + s á/a r̃ á/a		verb	PRAY
8472	TommoSoTongoTongo	(Muslim) pray, say or perform one's prayer	sɛ́nú sɛ́nɛ́	sɛ́nú_sɛ́nɛ́	s ɛ́/ɛ n ú/u + s ɛ́/ɛ n ɛ́/ɛ		verb	PRAY
8473	ToroTegu	(Muslim) pray, say or perform one's prayer	jíŋgá:rù kárⁿú\\kárⁿá	jíŋgá:rù_kárⁿú	dʒ í/i ŋ ɡ á:/aː r ù/u + k á/a r̃ ú/u		verb	PRAY
8474	YandaDom	(Muslim) pray, say or perform one's prayer	sán sán	sán_sán	s á/a n + s á/a n		verb	PRAY
8475	YornoSo	(Muslim) pray, say or perform one's prayer	sɛ̂n sɛ́rⁿɛ́	sɛ̂n_sɛ́rⁿɛ́	s ɛ̂/ɛ n + s ɛ́/ɛ r̃ ɛ́/ɛ		verb	PRAY
9379	BankanTey	(a) bruise (from a blow)	púŋkà	púŋkà	p ú/u ŋ k à/a		noun	BRUISE
9380	BenTey	(a) bruise (from a blow)	pùŋgùyî:, gòŋgòrògùnúm	pùŋgùyî:	p ù/u ŋ ɡ ù/u j î:/iː		noun	BRUISE
9381	DogulDomKundialang	(a) bruise (from a blow)	qqq	qqq	q q q		noun	BRUISE
9382	DonnoSo	(a) bruise (from a blow)	òmbògòjórù	òmbògòjórù	ò/o ⁿb ò/o ɡ ò/o dʒ ó/o r ù/u		noun	BRUISE
9383	JamsayDouentza	(a) bruise (from a blow)	pǔŋ	pǔŋ	p ǔ/u ŋ		noun	BRUISE
9384	JamsayMondoro	(a) bruise (from a blow)	pǔŋ	pǔŋ	p ǔ/u ŋ		noun	BRUISE
9385	Mombo	(a) bruise (from a blow)	ámánjè	ámánjè	á/a m á/a ⁿdʒ è/e		noun	BRUISE
9386	Najamba	(a) bruise (from a blow)	gúgùlù:\\gúgùlì:	gúgùlù:	ɡ ú/u ɡ ù/u l ùː/uː		noun	BRUISE
9387	Nanga	(a) bruise (from a blow)	gòndògòpɛ̀tɛ́	gòndògòpɛ̀tɛ́	ɡ ò/o ⁿd ò/o ɡ ò/o p ɛ̀/ɛ t ɛ́/ɛ		noun	BRUISE
9388	PergeTegu	(a) bruise (from a blow)	pùŋgú	pùŋgú	p ù/u ŋ ɡ ú/u		noun	BRUISE
9389	TommoSoTongoTongo	(a) bruise (from a blow)	jáŋgíyílé	jáŋgíyílé	dʒ á/a ŋ ɡ í/i j í/i l é/e		noun	BRUISE
9390	ToroTegu	(a) bruise (from a blow)	kúŋkà	kúŋkà	k ú/u ŋ k à/a		noun	BRUISE
9391	YandaDom	(a) bruise (from a blow)	sìnzù pɔ́jú	sìnzù_pɔ́jú	s ì/i n z ù/u + p ɔ́/ɔ dʒ ú/u		noun	BRUISE
9392	YornoSo	(a) bruise (from a blow)	jàrⁿìýⁿ	jàrⁿìýⁿ	dʒ à/a r̃ ì/i ýⁿ/ỹ		noun	BRUISE
11568	BenTey	(a) guard, watchman	ɔ̀rⁿɔ̀gɔ̀yⁿúm	ɔ̀rⁿɔ̀gɔ̀yⁿúm	ɔ̀/ɔ r̃ ɔ̀/ɔ ɡ ɔ̀/ɔ yⁿ/ỹ ú/u m		noun	GUARD
11569	DonnoSo	(a) guard, watchman	yàlù[kádùbìnɛ̀]	yàlù	j à/a l ù/u		noun	GUARD
11570	JamsayDouentza	(a) guard, watchman	dì:ⁿtígén	dì:ⁿtígén	d ì:ⁿ/ĩː t í/i ɡ é/e n		noun	GUARD
11571	Mombo	(a) guard, watchman	nɔ̀dyà nɔ́dí	nɔ̀dyà_nɔ́dí	n ɔ̀/ɔ d j à/a + n ɔ́/ɔ d í/i		noun	GUARD
11572	Nanga	(a) guard, watchman	gɔ̀yⁿgɔ̌yⁿ	gɔ̀yⁿgɔ̌yⁿ	ɡ ɔ̀/ɔ yⁿ/ỹ ɡ ɔ̌/ɔ yⁿ/ỹ		noun	GUARD
11573	Tiranige	(a) guard, watchman	dó:ŋgé	dó:ŋgé	d óː/oː ŋ ɡ é/e		noun	GUARD
11574	TogoKan	(a) guard, watchman	ɲàkájúwá	ɲàkájúwá	ɲ/ɲ à/a k á/a dʒ ú/u w á/a		noun	GUARD
11575	TommoSoTongoTongo	(a) guard, watchman	ǹdɛ̀ dòmmù dɔ́mmínɛ́	ǹdɛ̀_dòmmù_dɔ́mmínɛ́	ǹ/n d ɛ̀/ɛ + d ò/o m m ù/u + d ɔ́/ɔ m m í/i n ɛ́/ɛ		noun	GUARD
11576	ToroTegu	(a) guard, watchman	mètùmétúnú	mètùmétúnú	m è/e t ù/u m é/e t ú/u n ú/u		noun	GUARD
11577	YandaDom	(a) guard, watchman	dɔ̀mú	dɔ̀mú	d ɔ̀/ɔ m ú/u		noun	GUARD
8702	BenTey	(a) sacrifice (e.g. a slaughtered animal)	sádígà	sádígà	s á/a d í/i ɡ à/a		noun	SACRIFICE
8703	DogulDomBendiely	(a) sacrifice (e.g. a slaughtered animal)	sàrágá	sàrágá	s à/a r á/a ɡ á/a		noun	SACRIFICE
8704	DogulDomKundialang	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́, sárgà	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		noun	SACRIFICE
8705	JamsayDouentza	(a) sacrifice (e.g. a slaughtered animal)	sádákà	sádákà	s á/a d á/a k à/a		noun	SACRIFICE
8706	Mombo	(a) sacrifice (e.g. a slaughtered animal)	sárágà	sárágà	s á/a r á/a ɡ à/a		noun	SACRIFICE
8707	Nanga	(a) sacrifice (e.g. a slaughtered animal)	sárígà	sárígà	s á/a r í/i ɡ à/a		noun	SACRIFICE
8708	Tiranige	(a) sacrifice (e.g. a slaughtered animal)	sálámpɔ́	sálámpɔ́	s á/a l á/a m p ɔ́/ɔ		noun	SACRIFICE
8709	TogoKan	(a) sacrifice (e.g. a slaughtered animal)	sàrúgá	sàrúgá	s à/a r ú/u ɡ á/a		noun	SACRIFICE
8710	TommoSoTongoTongo	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		noun	SACRIFICE
8711	ToroTegu	(a) sacrifice (e.g. a slaughtered animal)	sádákà	sádákà	s á/a d á/a k à/a		noun	SACRIFICE
8712	YandaDom	(a) sacrifice (e.g. a slaughtered animal)	sàlàmbɔ́	sàlàmbɔ́	s à/a l à/a ⁿb ɔ́/ɔ		noun	SACRIFICE
10839	BenTey	(a) shop, store	bìdígì	bìdígì	b ì/i d í/i ɡ ì/i		noun	STORE
10840	Bunoge	(a) shop, store	bítígì	bítígì	b í/i t í/i ɡ ì/i		noun	STORE
10841	DonnoSo	(a) shop, store	bùdígù	bùdígù	b ù/u d í/i ɡ ù/u		noun	STORE
10842	JamsayDouentza	(a) shop, store	bìdígù	bìdígù	b ì/i d í/i ɡ ù/u		noun	STORE
10843	Mombo	(a) shop, store	bírígì	bírígì	b í/i r í/i ɡ ì/i		noun	STORE
10844	Nanga	(a) shop, store	bìtíkî	bìtíkî	b ì/i t í/i k î/i		noun	STORE
10845	Penange	(a) shop, store	bìrgì	bìrgì	b ì/i r ɡ ì/i		noun	STORE
10846	Tiranige	(a) shop, store	bídígí	bídígí	b í/i d í/i ɡ í/i		noun	STORE
10847	TogoKan	(a) shop, store	bìtígí	bìtígí	b ì/i t í/i ɡ í/i		noun	STORE
10848	TommoSoTongoTongo	(a) shop, store	bídík	bídík	b í/i d í/i k		noun	STORE
10849	ToroTegu	(a) shop, store	bìtíkì, dɔ̀rùdɔ̀rú ìlò	bìtíkì	b ì/i t í/i k ì/i		noun	STORE
10850	YandaDom	(a) shop, store	bìdígù	bìdígù	b ì/i d í/i ɡ ù/u		noun	STORE
6983	Najamba	(a) swelling (of a wound)	àmìyɛ́ŋgò\\àmìyɛ̂:	àmìyɛ́ŋgò	à/a m ì/i j ɛ́/ɛ ŋ ɡ ò/o		noun	SWELLING
6984	TogoKan	(a) swelling (of a wound)	pìdé	pìdé	p ì/i d é/e		noun	SWELLING
6985	TommoSoTongoTongo	(a) swelling (of a wound)	pììríyé	pììríyé	p ìì/iː r í/i j é/e		noun	SWELLING
6986	YornoSo	(a) swelling (of a wound)	pì:rě:	pì:rě:	p ì:/iː r ě:/eː		noun	SWELLING
3941	BankanTey	(act of) fasting	m̀bù:pǎỳ, kɔ́rkà	m̀bù:pǎỳ	m̀/m b ùː/uː p ǎ/a j̀/y		verb	ABSTAIN FROM FOOD
3942	BenTey	(act of) fasting	mò:[pàgî:]	mò:	m òː/oː		verb	ABSTAIN FROM FOOD
3943	DogulDomKundialang	(act of) fasting	kórkà	kórkà	k ó/o r k à/a		verb	ABSTAIN FROM FOOD
3944	DonnoSo	(act of) fasting	kɔ́rgɔ̀	kɔ́rgɔ̀	k ɔ́/ɔ r ɡ ɔ̀/ɔ		verb	ABSTAIN FROM FOOD
3945	JamsayDouentza	(act of) fasting	kà:[pàgú]	kà:	k à:/aː		verb	ABSTAIN FROM FOOD
3946	Mombo	(act of) fasting	kɔ́rkà	kɔ́rkà	k ɔ́/ɔ r k à/a		verb	ABSTAIN FROM FOOD
3947	Najamba	(act of) fasting	ìbì[págílé]	ìbì	ì/i b ì/i		verb	ABSTAIN FROM FOOD
3948	Nanga	(act of) fasting	nɔ̀:pàgí	nɔ̀:pàgí	n ɔ̀:/ɔː p à/a ɡ í/i		verb	ABSTAIN FROM FOOD
3949	Penange	(act of) fasting	sú:ⁿ túlé, [sú:ⁿ nì] bò	sú:ⁿ_túlé	s ṹː/ũː + t ú/u l é/e		verb	ABSTAIN FROM FOOD
3950	PergeTegu	(act of) fasting	kà:[pàgú]	kà:	k à:/aː		verb	ABSTAIN FROM FOOD
3951	TebulUre	(act of) fasting	m̀bùpàgú	m̀bùpàgú	m̀/m b ù/u p à/a ɡ ú/u		verb	ABSTAIN FROM FOOD
3952	Tiranige	(act of) fasting	ɔ̀mɔ̀págá	ɔ̀mɔ̀págá	ɔ̀/ɔ m ɔ̀/ɔ p á/a ɡ á/a		verb	ABSTAIN FROM FOOD
3953	TogoKan	(act of) fasting	kàⁿpàgú	kàⁿpàgú	k àⁿ/ã p à/a ɡ ú/u		verb	ABSTAIN FROM FOOD
3954	TommoSoTongoTongo	(act of) fasting	àŋà pàgú, kɔ́rkà	àŋà_pàgú	à/a ŋ à/a + p à/a ɡ ú/u		verb	ABSTAIN FROM FOOD
3955	TomoKanSegue	(act of) fasting	sú:ⁿ	sú:ⁿ	s ṹː/ũː		verb	ABSTAIN FROM FOOD
3956	ToroTegu	(act of) fasting	kàpágú	kàpágú	k à/a p á/a ɡ ú/u		verb	ABSTAIN FROM FOOD
3957	YandaDom	(act of) fasting	m̀bòpàgù	m̀bòpàgù	m̀/m b ò/o p à/a ɡ ù/u		verb	ABSTAIN FROM FOOD
3958	YornoSo	(act of) fasting	àŋàpàgú	àŋàpàgú	à/a ŋ à/a p à/a ɡ ú/u		verb	ABSTAIN FROM FOOD
3685	BankanTey	(any) alcoholic beverage	kɔ̀zɔ́	kɔ̀zɔ́	k ɔ̀/ɔ z ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3686	BenTey	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3687	DogulDomBendiely	(any) alcoholic beverage	kɔ́ɲjɔ́	kɔ́ɲjɔ́	k ɔ́/ɔ ɲ/ɲ dʒ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3688	JamsayDouentza	(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀/ɔ ɲ/ɲ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3689	Mombo	(any) alcoholic beverage	kɔ́ndyɔ̀	kɔ́ndyɔ̀	k ɔ́/ɔ ⁿd j ɔ̀/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3690	Najamba	(any) alcoholic beverage	kɔ̀njɛ́ŋgé\\kɔ̀njɛ́	kɔ̀njɛ́ŋgé	k ɔ̀/ɔ ⁿdʒ ɛ́/ɛ ŋ ɡ é/e		noun	ALCOHOL (FERMENTED DRINK)
3691	Nanga	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3692	PergeTegu	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3693	TogoKan	(any) alcoholic beverage	kɛ̀ɲɛ́	kɛ̀ɲɛ́	k ɛ̀/ɛ ɲ/ɲ ɛ́/ɛ		noun	ALCOHOL (FERMENTED DRINK)
3694	TommoSoTongoTongo	(any) alcoholic beverage	kɔ̀njɔ́	kɔ̀njɔ́	k ɔ̀/ɔ ⁿdʒ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3695	ToroTegu	(any) alcoholic beverage	kɔ̀ⁿsɔ́	kɔ̀ⁿsɔ́	k ɔ̀ⁿ/ɔ̃ s ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3696	YandaDom	(any) alcoholic beverage	kɔ̀nzɔ̀	kɔ̀nzɔ̀	k ɔ̀/ɔ n z ɔ̀/ɔ		noun	ALCOHOL (FERMENTED DRINK)
3697	YornoSo	(any) alcoholic beverage	kɔ̀ɲɔ́	kɔ̀ɲɔ́	k ɔ̀/ɔ ɲ/ɲ ɔ́/ɔ		noun	ALCOHOL (FERMENTED DRINK)
4190	Nanga	(any) fish trap	ìsìyɔ́gî	ìsìyɔ́gî	ì/i s ì/i j ɔ́/ɔ ɡ î/i		noun	FISH TRAP
4191	TommoSoTongoTongo	(any) fish trap	jɔ́ɔ́ⁿ	jɔ́ɔ́ⁿ	dʒ ɔ̃́ː/ɔ̃ː		noun	FISH TRAP
4192	ToroTegu	(any) fish trap	sàrⁿá	sàrⁿá	s à/a r̃ á/a		noun	FISH TRAP
5750	DogulDomBendiely	(any) men's palaver shed	páy wéy ógó	páy_wéy_ógó	p á/a j + w é/e j + ó/o ɡ ó/o		noun	MEN'S HOUSE
5751	DogulDomKundialang	(any) men's palaver shed	ánùwè jàŋgà	ánùwè_jàŋgà	á/a n ù/u w è/e + dʒ à/a ŋ ɡ à/a		noun	MEN'S HOUSE
5752	Mombo	(any) men's palaver shed	jàwⁿà bâyⁿ	jàwⁿà_bâyⁿ	dʒ àwⁿ/ãu à/a + b â/a yⁿ/ỹ		noun	MEN'S HOUSE
5753	Nanga	(any) men's palaver shed	àrⁿàɔ̂:	àrⁿàɔ̂:	à/a r̃ à/a ɔ̂:/ɔː		noun	MEN'S HOUSE
5754	Tiranige	(any) men's palaver shed	yàŋà	yàŋà	j à/a ŋ à/a		noun	MEN'S HOUSE
5755	TommoSoTongoTongo	(any) men's palaver shed	ànàm dóm, ànàm jáŋgá	ànàm_dóm	à/a n à/a m + d ó/o m		noun	MEN'S HOUSE
5756	YornoSo	(any) men's palaver shed	tògù ná:	tògù_ná:	t ò/o ɡ ù/u + n á:/aː		noun	MEN'S HOUSE
9238	BankanTey	(blood from a serious wound) flow, gush out, pour out	yɔ̀wɔ́	yɔ̀wɔ́	j ɔ̀/ɔ w ɔ́/ɔ		verb	FLOW
9239	BenTey	(blood from a serious wound) flow, gush out, pour out	tó: tí	tó:_tí	t óː/oː + t í/i		verb	FLOW
9240	JamsayDouentza	(blood from a serious wound) flow, gush out, pour out	yùwɔ́	yùwɔ́	j ù/u w ɔ́/ɔ		verb	FLOW
9241	Mombo	(blood from a serious wound) flow, gush out, pour out	gwé:	gwé:	ɡ w é:/eː		verb	FLOW
9242	Najamba	(blood from a serious wound) flow, gush out, pour out	síyɛ́	síyɛ́	s í/i j ɛ́/ɛ		verb	FLOW
9243	Nanga	(blood from a serious wound) flow, gush out, pour out	tíyɛ́	tíyɛ́	t í/i j ɛ́/ɛ		verb	FLOW
9244	TommoSoTongoTongo	(blood from a serious wound) flow, gush out, pour out	gòó	gòó	ɡ ǒː/oː		verb	FLOW
9245	ToroTegu	(blood from a serious wound) flow, gush out, pour out	zɔ̌w\\zɔ̌:	zɔ̌w	z ɔ̌/ɔ w		verb	FLOW
9246	YornoSo	(blood from a serious wound) flow, gush out, pour out	tógɛ́:	tógɛ́:	t ó/o ɡ ɛ́:/ɛː		verb	FLOW
771	DogulDomKundialang	(child) be born	nàlyé	nàlyé	n à/a l j é/e		verb	BE BORN
772	Najamba	(child) be born	nàlíyɛ́	nàlíyɛ́	n à/a l í/i j ɛ́/ɛ		verb	BE BORN
773	TommoSoTongoTongo	(child) be born	nàlíyɛ́	nàlíyɛ́	n à/a l í/i j ɛ́/ɛ		verb	BE BORN
774	YornoSo	(child) be born	nàrⁿɛ́:\\nàrⁿí:	nàrⁿɛ́:	n à/a r̃ ɛ́:/ɛː		verb	BE BORN
8857	BankanTey	(colonial) army	lármɛ̀	lármɛ̀	l á/a r m ɛ̀/ɛ		noun	ARMY
8858	BenTey	(colonial) army	sèdà:sú	sèdà:sú	s è/e d à:/aː s ú/u		noun	ARMY
8859	DogulDomBendiely	(colonial) army	sórààs	sórààs	s ó/o r àà/aː s		noun	ARMY
8860	JamsayDouentza	(colonial) army	lármɛ́	lármɛ́	l á/a r m ɛ́/ɛ		noun	ARMY
8861	Mombo	(colonial) army	ármê:	ármê:	á/a r m ê:/eː		noun	ARMY
8862	PergeTegu	(colonial) army	sódá:sù	sódá:sù	s ó/o d á:/aː s ù/u		noun	ARMY
8863	TogoKan	(colonial) army	sɔ́dá:jú	sɔ́dá:jú	s ɔ́/ɔ d á:/aː dʒ ú/u		noun	ARMY
8864	TommoSoTongoTongo	(colonial) army	ànsáárá kɔ̀mbɔ̀ ànàm	ànsáárá_kɔ̀mbɔ̀_ànàm	à/a n s áá/aː r á/a + k ɔ̀/ɔ ⁿb ɔ̀/ɔ + à/a n à/a m		noun	ARMY
8865	ToroTegu	(colonial) army	sárú:sù	sárú:sù	s á/a r úː/uː s ù/u		noun	ARMY
8866	YornoSo	(colonial) army	lármè	lármè	l á/a r m è/e		noun	ARMY
11883	BankanTey	(dog) howl, bay (verb only)	lò:ró	lò:ró	l òː/oː r ó/o		verb	HOWL
11884	Mombo	(dog) howl, bay (verb only)	kɔ́mɛ́	kɔ́mɛ́	k ɔ́/ɔ m ɛ́/ɛ		verb	HOWL
11885	Najamba	(dog) howl, bay (verb only)	íníy\\ìnìyè	íníy	í/i n í/i j		verb	HOWL
11886	Nanga	(dog) howl, bay (verb only)	gúndó	gúndó	ɡ ú/u ⁿd ó/o		verb	HOWL
11887	PergeTegu	(dog) howl, bay (verb only)	bò:ló	bò:ló	b òː/oː l ó/o		verb	HOWL
11888	TommoSoTongoTongo	(dog) howl, bay (verb only)	kóódó	kóódó	k óː/oː d ó/o		verb	HOWL
