Grapheme	IPA
ɔ̀:ⁿ̀	ɔ̀.ɔ̀.n
ɔ̀=ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀	ɔ̀.ɔ̀
ɔ̀ɔ̀ⁿ	ɔ̀.ɔ̀.n
ɔ̀ɔ́	ɔ̀.ɔ́
ɔ̀ɔ́ⁿ	ɔ̀.ɔ́.n
ɔ̀ᵃ	ɔ̀
ɔ̀ⁿ	ɔ̀.n
ɔ̀ⁿ̀	ɔ̀.n
ɔ́	ɔ́
ɔ́:	ɔ́.ɔ́
ɔ́:ⁿ	ɔ́.ɔ́.n
ɔ́ɔ̀	ɔ́.ɔ̀
ɔ́ɔ̀ⁿ	ɔ́.ɔ̀.n
ɔ́ɔ́	ɔ́.ɔ́
ɔ́ɔ́ⁿ	ɔ́.ɔ́.n
ɔ́ⁿ	ɔ́.n
ɔ̂	ɔ̂
ɔ̂:	ɔ́.ɔ̀
ɔ̂:ⁿ	ɔ́.ɔ̀.n
ɔ̂ⁿ	ɔ̂.n
ɔ̃	ɔ.n
ɔ̃̀	ɔ.n
ɔ̃́	ɔ.n
ɔ̌	ɔ̌
ɔ̌:	ɔ̀.ɔ́
ɔ̌:ⁿ	ɔ̀.ɔ́.n
ɔ̌ⁿ	ɔ̌.n
ɔ᷈	ɔ̌
ɔ᷈:	ɔ̀.ɔ̀.
ɔ᷈:ⁿ	ɔ̀.ɔ̀.n
ɔ᷈ⁿ	ɔ̌.n
ɔⁿ	ɔ.n
d	d
ɗ	ɗ
ð	ð
dʷ	dʷ
ʤ	dʒ
j	dʒ
e	e
e:	e.e
è	è
è:	è.è
è:ⁿ	è:ⁿ
èè	è.è
èèⁿ	èèⁿ
èé	è.é
èéⁿ	èéⁿ
èⁿ	èⁿ
é	é
é:	é.é
é:ⁿ	é:ⁿ
éè	é.è
éèⁿ	éèⁿ
éé	é.é
ééⁿ	ééⁿ
éⁿ	éⁿ
ê	ê
ê:	é.è
ě	ě
ě:	è.é
ě:ⁿ	ě:ⁿ
ěⁿ	ěⁿ
e᷈	ě
e᷈:	è.è
eⁿ	eⁿ
ə̀	ə̀
ə́	ə́
ễ	ễ
È	ɛ̀
ɛ	ɛ
ɛ̀	ɛ̀
ɛ̀ⁿ	ɛ̀.n
ɛ́	ɛ́
ɛ́ⁿ	ɛ́.n
ɛ̂	ɛ̂
ɛ̂ⁿ	ɛ̂.n
ɛ̃	ɛ.n
ɛ̃̀	ɛ.n
ɛ̃́	ɛ.n
ɛ̄	ɛ
ɛ̌	ɛ̌
ɛ̌ⁿ	ɛ̌.n
ɛ᷈	ɛ̌
ɛⁿ	ɛ.n
ɞ́	β
ɛ:	ɛ.ɛ
ɛ́:	ɛ́.ɛ́
ɛ́ɛ́	ɛ́.ɛ́
ɛ:́	ɛ́.ɛ́
ɛ̊:	ɛ.ɛ
ɛ̀:	ɛ̀.ɛ̀
ɛ̀ɛ̀	ɛ̀.ɛ̀
ɛ̂:	ɛ́.ɛ̀
ɛ́ɛ̀	ɛ́.ɛ̀
ɛ̌:	ɛ̀.ɛ́
ɛ̀ɛ́	ɛ̀.ɛ́
ɛ́:ⁿ	ɛ́.ɛ́.n
ɛ́ɛ́ⁿ	ɛ́.ɛ́.n
ɛ̀:ⁿ	ɛ̀.ɛ̀.n
ɛ̀ɛ̀ⁿ	ɛ̀.ɛ̀.n
ɛ᷈:	ɛ̀.ɛ̀
ɛ̂:ⁿ	ɛ́.ɛ̀.n
ɛ́ɛ̀ⁿ	ɛ́.ɛ̀.n
ɛ̌:ⁿ	     ɛ̀.ɛ́.n
ɛ̀ɛ́ⁿ	     ɛ̀.ɛ́.n
ɛ᷈:ⁿ	     ɛ̀.ɛ̀.n
f	f
ɣ	ɣ
g	ɡ
ǵ	ɡ
ɡ	ɡ
ɡʷ	ɡʷ
h	h
ɥ	ɥ
hʷ	hʷ
i	i
í	í
í̀	î
ì́	ǐ
ɪ́	í
ì	ì
ɪ̀	ɪ̀
î	î
î"	î
ǐ	ǐ
iⁿ	     iⁿ
íⁿ	     íⁿ
íⁿ̀	íⁿ̀
iⁿ̀	iⁿ̀
ìⁿ	     ìⁿ
i᷈:	ǐ.ì
îⁿ	     îⁿ
ǐⁿ	     ǐⁿ
i:	i.i
ì::	ì.ì.ì
i:́	í.í
í:	í.í
íí	í.í
ɪ́ɪ́	ɪ́.ɪ́
i:̀	ì.ì
ì:	ì.ì
ìì	ì.ì
ɪ̀ɪ̀	ɪ̀.ɪ̀
î:	í.ì
íì	í.ì
ɪ́ɪ̀	ɪ́.ɪ̀
ǐ:	ɪ̀.í
ìí	ì.í
ɪ̀ɪ́	ɪ̀.ɪ́
í:ⁿ	     í:ⁿ
í̀:ⁿ	     ií̀:ⁿ
ĩ́ĩ́	ĩ́ĩ́
ííⁿ	i    ́íⁿ
ɪ́ɪ́ⁿ	     ɪ́ɪ́ⁿ
ì:ⁿ      ì:ⁿ
ììⁿ	     ììⁿ
ɪ̀ɪ̀ⁿ	     ɪ̀ɪ̀ⁿ	
î:ⁿ	     î:ⁿ
ĩ́ĩ̀	ĩ́ĩ̀
íìⁿ	     íìⁿ
ɪ́ɪ̀ⁿ	     ɪ́ɪ̀ⁿ
ǐ:ⁿ	     ǐ:ⁿ
ĩ̀ĩ́	ĩ̀ĩ́
ìíⁿ	     ìíⁿ
ɪ̀ɪ́ⁿ	     ɪ̀ɪ́ⁿ	
i᷈:ⁿ	     i᷈:ⁿ
y	y
yᵇ	yᵇ
ý	y
ỳ	y
yⁿ		  y.n
yⁿ̀	ỳ.n
ýⁿ       ý̰.n
^:r	r
áà:y	á.à j
àà:	à.à
àá:	à.á
ɛ́ɛ̀:	ɛ́.ɛ̀
Ǹ	n
èé:	è.é
ìí:	ì.í
ỳⁿ	y.y
ɔ̌:́	ɔ̀.ɔ́
ŷⁿ	ŷ.n
ʄ	ʄ
y:	j.j
k	k
ḱ	k
ɛ̀ɛ́:ⁿ	ɛ̀.ɛ́.n
kʷ	k.w
l	l
-_	
ĺ	l
_-	-
_-$	NULL
-_$	NULL
_X-	-
l̀	l
l:	l.l
:m	m
m	m
ḿ	m
m̀	m
m̀ᵇ	m̀ᵇ
m̀:	m
àwⁿ		 àwⁿ
m:	m.m
_...-	-
n	n
a᷄:	a.á
ɛⁿ́	ɛ́.n
ɛ́́	ɛ́
N-	n
ñ	n
nⁿ		  n
æ̂ⁿ	     æ̂ⁿ
ýⁿ́	y.n
^:-	NULL
^̌	NULL
-́_	-
^́	NULL
^̌_	NULL
u᷈:ⁿ	     u᷈:ⁿ
-́_X=	-
_:_	NULL
_ː_	NULL
â:-ⁿ	  â:-ⁿ
ɔ́́	ɔ́
ń	n
ǹ	n
Ǹ-	n
ǹ:	n.n
ɲ	ɲ
ɲ́	ɲ
ɲ̀	ɲ
ɳ	ɲ
2	NULL
-	-
̀	NULL
!	NULL
.	NULL
/	NULL
-:	-
;	NULL
?	NULL
?#	NULL
=	NULL
=:	NULL
>	NULL
∅	NULL
∴	NULL
≡	NULL
→	NULL
⇒	NULL
…	NULL
B	b
C	NULL
D	d
g#	NULL
H	h
L	l
l#	NULL
O	o
Ú	ú
V	v
X	x
=-ʸŋ	j.ŋ
Y	j
ꜜ	NULL
=∴	NULL
ŋ	ŋ
ŋ́	ŋ
ŋ̀	ŋ
ŋʷ	ŋ.w
o	o
o̯	o
ó	ó
ò	ò
ò̀	ò
ô	ô
ǒ	ǒ
ṍ	ṍ
óⁿ      óⁿ
õ̀	õ̀
òⁿ	     òⁿ
o᷈	ò.ò
ôⁿ	     ôⁿ
o:	o.o
ó:	ó.ó
óó	ó.ó
ò:	ò.ò
òò	ò.ò
ô:	ó.ò
óò	ó.ò
ǒ:	ò.ó
òó	ò.ó
ó:ⁿ	     ó:ⁿ
óóⁿ	     óóⁿ
ò:ⁿ	     ò:ⁿ
òòⁿ	     òòⁿ
o᷈:	ò.ò
o᷈::	ò.ò
ô:ⁿ	     ô:ⁿ
óòⁿ	     óòⁿ
ǒ:ⁿ	     ǒ:ⁿ
òóⁿ	     òóⁿ
p	p
pʷ	p.w
q	q
r	r
r̀	r
rᵃ	r.a
rᵘ̀	r.ù
r̃	r.n
rⁿ	     r.n
rⁿ̀	r.n
s	s
sⁿ	     sⁿ
š	ʃ
ʃ	ʃ
t	t
c	tʃ
ć	tʃ
tʷ	t.w
u	u
ú	ú
ù	ù
û	û
ǔ	ǔ
ũ	ũ
úⁿ	     úⁿ
ùⁿ	     ùⁿ
ûⁿ	     ûⁿ
ǔⁿ	     ǔⁿ
ù:	ù.ù
ù:ⁿ	     ù:ⁿ
ùù	ù.ù
ùùⁿ	     ùùⁿ
ùú	ù.ú
ùúⁿ	     ùúⁿ
ú:	ú.ú
ú:ⁿ	     ú:ⁿ	
úù	ú.ù
úùⁿ	     úùⁿ
úú	ú.ú
úúⁿ	     úúⁿ
û:	ú.ù
û:ⁿ	     û:ⁿ
ǔ:	ù.ú
ǔ:ⁿ	     ǔ:ⁿ
u᷈:	ù.ù
uⁿ	     uⁿ
v	v
v́	v
v̀	v
ʋ	β
w	w
wᵃ	w
ẃ	w
ẁ	w
w̃	w.n
wⁿ	     w.n
wⁿ́	ẃ.n
ẃⁿ	     ẃ.n
ẁⁿ	     ẁ.n
x	x
z	z
ž	ʒ
ʒ	ʒ
ʔ	ʔ
ʔⁿ		  ʔⁿ
_	-
{	NULL
'	NULL
}	NULL
`	NULL
1	NULL
3	NULL
21	NULL
752	NULL
764	NULL
3247	NULL
4378	NULL
4496	NULL
4511	NULL
˧	NULL
A	a
+	NULL
E	e
R	r
P	p
N	n
ň	n
å	a
U	u
ɖ	ɗ
ɪ	ɪ
ᵘ	u
Â	â
J	dʒ
ø	NULL
ő	o
@	NULL
̐	NULL
᷄	NULL
<	NULL
̪	NULL
4	NULL
7	NULL
9	NULL
0	NULL
I	i
_X_$	NULL
_X$	NULL
_$	NULL
__$	NULL
_...$	NULL
-̀$	NULL
^_	NULL
^__	NULL
^_...	NULL
^..._	NULL
^-_	NULL
^ḿ:	m.m
__	-
_..._	-
...	NULL
_X_	-
j́	dʒ
nj́	nj́
nj	nj
^nj	nj
_=_	-
^X__	NULL
^X_	NULL
^X-	NULL
^-	NULL
-ⁿ_	-
-ⁿ$	NULL
-ⁿ	~
-_$	NULL
ɪ̌	ɪ̌
^ň:	n.n
^_k	k
-_xxx$	NULL
àⁿ	à.∼
p̌y$	p j
á́	á
ý:	j.j
_$	NULL
-$	NULL
-́_$	NULL
]	NULL
-$	NULL
nd	nd
^nd	nd
mb	mb
^mb	mb
ng	nɡ
ŋg	ŋɡ
^ŋg	nɡ
^ng	nɡ
ɔ́́_	ɔ́ -
ɔ̊	ɔ
a`:	à.à
^́_k	k
^̌t	t
ê:ⁿ	é.è.∼
 ̀_	NULL
_:$	NULL
g-́_	ɡ
ɔ̌:-́	ɔ̀.ɔ́
^:_	NULL
á́́́	á
PRON	NULL
̌_#_	-
^nɔ̌:	n ɔ̀.ɔ́
)	NULL
