ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
TomoKanSegue-1141_sbcamelkneel-1,,TomoKanSegue,1141_sbcamelkneel,ɲùŋgòlòkùⁿ twɛ̀lí,ɲùŋgòlò-kùⁿ_twɛ̀lí,ɲ ù ŋ ɡ ò l ò + k ù ∼ + t w ɛ̀ l í,,heathdogon,,,,,ɲ ù ŋ ɡ ò l ò + k ù ∼ + t w ɛ̀ l í,,,,
ToroTegu-1141_sbcamelkneel-1,,ToroTegu,1141_sbcamelkneel,gùrùkú\\gùrùkó,gùrùkó,ɡ ù r ù k ó,,heathdogon,,,,,ɡ ù r ù k ó,,,,
YandaDom-1141_sbcamelkneel-1,,YandaDom,1141_sbcamelkneel,túnjɔ́\\túnjálì,túnjɔ́,t ú ⁿdʒ ɔ́,,heathdogon,,,,,t ú ⁿdʒ ɔ́,,,,
YornoSo-1141_sbcamelkneel-1,,YornoSo,1141_sbcamelkneel,túŋɛ́:\\túŋí:,túŋ-ɛ́:,t ú ŋ + ɛ́ː,,heathdogon,,,,,t ú ŋ + ɛ́ː,,,,
BankanTey-8280_squat-1,,BankanTey,8280_squat,tɔ́rⁿíyí,tɔ́rⁿíyí,t ɔ́ r ∼ í j í,,heathdogon,,,,,t ɔ́ r ∼ í j í,,,,
BenTey-8280_squat-1,,BenTey,8280_squat,tɔ́rⁿíyⁿí,tɔ́rⁿí-yⁿí,t ɔ́ r ∼ í + y ∼ í,,heathdogon,,,,,t ɔ́ r ∼ í + y ∼ í,,,,
Bunoge-8280_squat-1,,Bunoge,8280_squat,sómbè,sómbè,s ó ⁿb è,,heathdogon,,,,,s ó ⁿb è,,,,
DogulDomBendiely-8280_squat-1,,DogulDomBendiely,8280_squat,tɔ̀nìyɛ́,tɔ̀nìyɛ́,t ɔ̀ n ì j ɛ́,,heathdogon,,,,,t ɔ̀ n ì j ɛ́,,,,
DogulDomKundialang-8280_squat-1,,DogulDomKundialang,8280_squat,tɔ́nyɛ̀,tɔ́n-yɛ̀,t ɔ́ n + j ɛ̀,,heathdogon,,,,,t ɔ́ n + j ɛ̀,,,,
DonnoSo-8280_squat-1,,DonnoSo,8280_squat,tɔ́dɛ̀:\\tɔ́dìỳ,tɔ́d-ɛ̀:,t ɔ́ d + ɛ̀ː,,heathdogon,,,,,t ɔ́ d + ɛ̀ː,,,,
Gourou-8280_squat-1,,Gourou,8280_squat,tɔ́rⁿɔ́,tɔ́rⁿɔ́,t ɔ́ r ∼ ɔ́,,heathdogon,,,,,t ɔ́ r ∼ ɔ́,,,,
JamsayDouentza-8280_squat-1,,JamsayDouentza,8280_squat,tɔ́rⁿɔ́,tɔ́rⁿɔ́,t ɔ́ r ∼ ɔ́,,heathdogon,,,,,t ɔ́ r ∼ ɔ́,,,,
JamsayMondoro-8280_squat-1,,JamsayMondoro,8280_squat,tɔ́rⁿɔ́,tɔ́rⁿɔ́,t ɔ́ r ∼ ɔ́,,heathdogon,,,,,t ɔ́ r ∼ ɔ́,,,,
Mombo-8280_squat-1,,Mombo,8280_squat,sómbyê:,sómbyê:,s ó ⁿb j êː,,heathdogon,,,,,s ó ⁿb j êː,,,,
Najamba-8280_squat-1,,Najamba,8280_squat,sómbíy,sómbí-y,s ó ⁿb í + j,,heathdogon,,,,,s ó ⁿb í + j,,,,
Nanga-8280_squat-1,,Nanga,8280_squat,sówyé,sów-yé,s ó w + j é,,heathdogon,,,,,s ó w + j é,,,,
Penange-8280_squat-1,,Penange,8280_squat,sómbyè,sómb-yè,s ó ⁿb + j è,,heathdogon,,,,,s ó ⁿb + j è,,,,
PergeTegu-8280_squat-1,,PergeTegu,8280_squat,tɔ́rⁿúyⁿɔ́,tɔ́rⁿú-yⁿɔ́,t ɔ́ r ∼ ú + y ∼ ɔ́,,heathdogon,,,,,t ɔ́ r ∼ ú + y ∼ ɔ́,,,,
TebulUre-8280_squat-1,,TebulUre,8280_squat,tóndí: (tóndí:yà),tónd-í:-yà,t ó ⁿd + íː + j à,,heathdogon,,,,,t ó ⁿd + íː + j à,,,,
Tiranige-8280_squat-1,,Tiranige,8280_squat,sómbíyó,sómbí-yó,s ó ⁿb í + j ó,,heathdogon,,,,,s ó ⁿb í + j ó,,,,
TogoKan-8280_squat-1,,TogoKan,8280_squat,tɔ́rⁿì:,tɔ́rⁿ-ì:,t ɔ́ r ∼ + ìː,,heathdogon,,,,,t ɔ́ r ∼ + ìː,,,,
TommoSoTongoTongo-8280_squat-1,,TommoSoTongoTongo,8280_squat,tɔ́ɔ́díyɛ́,tɔ́ɔ́dí-yɛ́,t ɔ́ ɔ́ d í + j ɛ́,,heathdogon,,,,,t ɔ́.ɔ́ d í + j ɛ́,,,,
TomoKanDiangassagou-8280_squat-1,,TomoKanDiangassagou,8280_squat,twɛ́lí,twɛ́lí,t w ɛ́ l í,,heathdogon,,,,,t w ɛ́ l í,,,,
TomoKanSegue-8280_squat-1,,TomoKanSegue,8280_squat,twɛ̀lí,twɛ̀lí,t w ɛ̀ l í,,heathdogon,,,,,t w ɛ̀ l í,,,,
ToroTegu-8280_squat-1,,ToroTegu,8280_squat,tóríy\\tóríyó,tóríyó,t ó r í j ó,,heathdogon,,,,,t ó r í j ó,,,,
YandaDom-8280_squat-1,,YandaDom,8280_squat,tózíyó\\tózíyólì,tózí-yó,t ó z í + j ó,,heathdogon,,,,,t ó z í + j ó,,,,
YornoSo-8280_squat-1,,YornoSo,8280_squat,tɔ́jɛ́:\\tɔ́jí:,tɔ́j-ɛ́:,t ɔ́ dʒ + ɛ́ː,,heathdogon,,,,,t ɔ́ dʒ + ɛ́ː,,,,
BenTey-8303_standbeinstandingposition-1,,BenTey,8303_standbeinstandingposition,ì:yî: í:yí,ì:y-î:_í:-yí,ìː j + îː + íː + j í,,heathdogon,,,,,ìː j + îː + íː + j í,,,,
Bunoge-8303_standbeinstandingposition-1,,Bunoge,8303_standbeinstandingposition,"ʔìgá ʔìgà, bò ʔìgà",ʔìgá_ʔìgà,ʔ ì ɡ á + ʔ ì ɡ à,,heathdogon,,,,,ʔ ì ɡ á + ʔ ì ɡ à,,,,
DogulDomKundialang-8303_standbeinstandingposition-1,,DogulDomKundialang,8303_standbeinstandingposition,ìʔígà,ì-ʔígà,ì + ʔ í ɡ à,,heathdogon,,,,,ì + ʔ í ɡ à,,,,
DonnoSo-8303_standbeinstandingposition-1,,DonnoSo,8303_standbeinstandingposition,ǐ:ŋɛ̀,ǐ:ŋɛ̀,ǐː ŋ ɛ̀,,heathdogon,,,,,ǐː ŋ ɛ̀,,,,
JamsayDouentza-8303_standbeinstandingposition-1,,JamsayDouentza,8303_standbeinstandingposition,ìjɛ́ íjɛ́,ìjɛ́_íjɛ́,ì dʒ ɛ́ + í dʒ ɛ́,,heathdogon,,,,,ì dʒ ɛ́ + í dʒ ɛ́,,,,
Mombo-8303_standbeinstandingposition-1,,Mombo,8303_standbeinstandingposition,ìíŋgá,ì-íŋgá,ì + í ŋ ɡ á,,heathdogon,,,,,ì + í ŋ ɡ á,,,,
Najamba-8303_standbeinstandingposition-1,,Najamba,8303_standbeinstandingposition,ìŋgà,ìŋgà,ì ŋ ɡ à,,heathdogon,,,,,ì ŋ ɡ à,,,,
Nanga-8303_standbeinstandingposition-1,,Nanga,8303_standbeinstandingposition,ìyâ í:yí,ìyâ_í:-yí,ì j â + íː + j í,,heathdogon,,,,,ì j â + íː + j í,,,,
Penange-8303_standbeinstandingposition-1,,Penange,8303_standbeinstandingposition,íŋgà (ɲ),íŋgà,í ŋ ɡ à,,heathdogon,,,,,í ŋ ɡ à,,,,
TebulUre-8303_standbeinstandingposition-1,,TebulUre,8303_standbeinstandingposition,ígà,ígà,í ɡ à,,heathdogon,,,,,í ɡ à,,,,
Tiranige-8303_standbeinstandingposition-1,,Tiranige,8303_standbeinstandingposition,ígà,ígà,í ɡ à,,heathdogon,,,,,í ɡ à,,,,
TogoKan-8303_standbeinstandingposition-1,,TogoKan,8303_standbeinstandingposition,ìígɛ̀,ì-ígɛ̀,ì + í ɡ ɛ̀,,heathdogon,,,,,ì + í ɡ ɛ̀,,,,
TommoSoTongoTongo-8303_standbeinstandingposition-1,,TommoSoTongoTongo,8303_standbeinstandingposition,ííŋɛ̀,í-íŋɛ̀,í + í ŋ ɛ̀,,heathdogon,,,,,í + í ŋ ɛ̀,,,,
TomoKanDiangassagou-8303_standbeinstandingposition-1,,TomoKanDiangassagou,8303_standbeinstandingposition,ʔyà:,ʔyà:,ʔ j àː,,heathdogon,,,,,ʔ j àː,,,,
TomoKanSegue-8303_standbeinstandingposition-1,,TomoKanSegue,8303_standbeinstandingposition,yè ʔyá,yè_ʔyá,j è + ʔ j á,,heathdogon,,,,,j è + ʔ j á,,,,
YornoSo-8303_standbeinstandingposition-1,,YornoSo,8303_standbeinstandingposition,ìíŋɛ̀,ì-íŋɛ̀,ì + í ŋ ɛ̀,,heathdogon,,,,,ì + í ŋ ɛ̀,,,,
Ampari-5566_liedowngotobed-1,,Ampari,5566_liedowngotobed,"bíyò (bìyè, bíyérí)",bìyè,b ì j è,,heathdogon,,,,,b ì j è,,,,
BankanTey-5566_liedowngotobed-1,,BankanTey,5566_liedowngotobed,bìyé,bìyé,b ì j é,,heathdogon,,,,,b ì j é,,,,
BenTey-5566_liedowngotobed-1,,BenTey,5566_liedowngotobed,bìyé,bì-yé,b ì + j é,,heathdogon,,,,,b ì + j é,,,,
Bunoge-5566_liedowngotobed-1,,Bunoge,5566_liedowngotobed,bí:yè,bí:-yè,b íː + j è,,heathdogon,,,,,b íː + j è,,,,
DogulDomKundialang-5566_liedowngotobed-1,,DogulDomKundialang,5566_liedowngotobed,bìyyé,bìy-yé,b ì j + j é,,heathdogon,,,,,b ì j + j é,,,,
DonnoSo-5566_liedowngotobed-1,,DonnoSo,5566_liedowngotobed,ùnjé:\\únjìỳ,ùnj-é:,ù ⁿdʒ + éː,,heathdogon,,,,,ù ⁿdʒ + éː,,,,
Gourou-5566_liedowngotobed-1,,Gourou,5566_liedowngotobed,ìsé,ìsé,ì s é,,heathdogon,,,,,ì s é,,,,
JamsayDouentza-5566_liedowngotobed-1,,JamsayDouentza,5566_liedowngotobed,ìɲé,ìɲé,ì ɲ é,,heathdogon,,,,,ì ɲ é,,,,
JamsayMondoro-5566_liedowngotobed-1,,JamsayMondoro,5566_liedowngotobed,ìɲé,ìɲé,ì ɲ é,,heathdogon,,,,,ì ɲ é,,,,
Mombo-5566_liedowngotobed-1,,Mombo,5566_liedowngotobed,bí:yè,bí:yè,b íː j è,,heathdogon,,,,,b íː j è,,,,
Najamba-5566_liedowngotobed-1,,Najamba,5566_liedowngotobed,bǐy\\bìyè,bìyè,b ì j è,,heathdogon,,,,,b ì j è,,,,
Nanga-5566_liedowngotobed-1,,Nanga,5566_liedowngotobed,bìyé,bìyé,b ì j é,,heathdogon,,,,,b ì j é,,,,
Penange-5566_liedowngotobed-1,,Penange,5566_liedowngotobed,bíyé (imperative bìyó),bí-yé,b í + j é,,heathdogon,,,,,b í + j é,,,,
PergeTegu-5566_liedowngotobed-1,,PergeTegu,5566_liedowngotobed,ìnjé,ìnjé,ì ⁿdʒ é,,heathdogon,,,,,ì ⁿdʒ é,,,,
TebulUre-5566_liedowngotobed-1,,TebulUre,5566_liedowngotobed,bě (běyyà),bě,b ě,,heathdogon,,,,,b ě,,,,
Tiranige-5566_liedowngotobed-1,,Tiranige,5566_liedowngotobed,bíyó ~ bí:yó,bí-yó,b í + j ó,,heathdogon,,,,,b í + j ó,,,,
TogoKan-5566_liedowngotobed-1,,TogoKan,5566_liedowngotobed,ìmú ìmî:\\ìmɛ́:,ìm-ɛ́:,ì m + ɛ́ː,,heathdogon,,,,,ì m + ɛ́ː,,,,
TommoSoTongoTongo-5566_liedowngotobed-1,,TommoSoTongoTongo,5566_liedowngotobed,ǹjó ǹjíyó,ǹjó_ǹjí-yó,n ə̀ dʒ ó + n ə̀ dʒ í + j ó,,heathdogon,,,,,n.ə̀ dʒ ó + n.ə̀ dʒ í + j ó,,,,
TomoKanSegue-5566_liedowngotobed-1,,TomoKanSegue,5566_liedowngotobed,mí:\\myɛ́ⁿ,myɛ́ⁿ,m j ɛ́ ∼,,heathdogon,,,,,m j ɛ́ ∼,,,,
ToroTegu-5566_liedowngotobed-1,,ToroTegu,5566_liedowngotobed,ìsú\\ìsé,ìsé,ì s é,,heathdogon,,,,,ì s é,,,,
YandaDom-5566_liedowngotobed-1,,YandaDom,5566_liedowngotobed,bìyó\\bìyèlí,bì-yó,b ì + j ó,,heathdogon,,,,,b ì + j ó,,,,
YornoSo-5566_liedowngotobed-1,,YornoSo,5566_liedowngotobed,dǐ:ⁿ\\dǐ:ⁿ,dǐ:ⁿ,d ǐː ∼,,heathdogon,,,,,d ǐː ∼,,,,
BankanTey-9062_udder-1,,BankanTey,9062_udder,úrù,úrù,ú r ù,,heathdogon,,,,,ú r ù,,,,
BenTey-9062_udder-1,,BenTey,9062_udder,írì,írì,í r ì,,heathdogon,,,,,í r ì,,,,
Bunoge-9062_udder-1,,Bunoge,9062_udder,ʔójjè,ʔójjè,ʔ ó dʒ dʒ è,,heathdogon,,,,,ʔ ó dʒ dʒ è,,,,
DogulDomKundialang-9062_udder-1,,DogulDomKundialang,9062_udder,ńjùŋ̀,ńjù-ŋ̀,n ə́ dʒ ù + ŋ ə̀,,heathdogon,,,,,n.ə́ dʒ ù + ŋ.ə̀,,,,
DonnoSo-9062_udder-1,,DonnoSo,9062_udder,írù,írù,í r ù,,heathdogon,,,,,í r ù,,,,
JamsayDouentza-9062_udder-1,,JamsayDouentza,9062_udder,írù,írù,í r ù,,heathdogon,,,,,í r ù,,,,
Mombo-9062_udder-1,,Mombo,9062_udder,ógyé,ógyé,ó ɡ j é,,heathdogon,,,,,ó ɡ j é,,,,
Najamba-9062_udder-1,,Najamba,9062_udder,ónjù:\\ónjì:,ónjù:,ó ⁿdʒ ùː,,heathdogon,,,,,ó ⁿdʒ ùː,ó ⁿdʒ ìː,ó ⁿdʒ ìː,ónjì:,
Nanga-9062_udder-1,,Nanga,9062_udder,úrî,úrî,ú r î,,heathdogon,,,,,ú r î,,,,
Penange-9062_udder-1,,Penange,9062_udder,éjjé (y),éjjé,é dʒ dʒ é,,heathdogon,,,,,é dʒ dʒ é,j + é dʒ dʒ é,j + é dʒ dʒ é,y-éjjé,
PergeTegu-9062_udder-1,,PergeTegu,9062_udder,írì,írì,í r ì,,heathdogon,,,,,í r ì,,,,
TebulUre-9062_udder-1,,TebulUre,9062_udder,ómgó,ómgó,ó m ɡ ó,,heathdogon,,,,,ó m ɡ ó,,,,
Tiranige-9062_udder-1,,Tiranige,9062_udder,ùnjìgè,ùnjìgè,ù ⁿdʒ ì ɡ è,,heathdogon,,,,,ù ⁿdʒ ì ɡ è,,,,
TogoKan-9062_udder-1,,TogoKan,9062_udder,írí,írí,í r í,,heathdogon,,,,,í r í,,,,
TommoSoTongoTongo-9062_udder-1,,TommoSoTongoTongo,9062_udder,àndá,à-n-dá,à + n + d á,,heathdogon,,,,,à + n + d á,,,,
TomoKanSegue-9062_udder-1,,TomoKanSegue,9062_udder,ʔìrí,ʔìrí,ʔ ì r í,,heathdogon,,,,,ʔ ì r í,,,,
ToroTegu-9062_udder-1,,ToroTegu,9062_udder,ìrùpèlú,ìrù-pèlú,ì r ù + p è l ú,,heathdogon,,,,,ì r ù + p è l ú,,,,
YandaDom-9062_udder-1,,YandaDom,9062_udder,ándá,ándá,á ⁿd á,,heathdogon,,,,,á ⁿd á,,,,
YornoSo-9062_udder-1,,YornoSo,9062_udder,írù,írù,í r ù,,heathdogon,,,,,í r ù,,,,
Ampari-8579_tailofdogsheepetc-1,,Ampari,8579_tailofdogsheepetc,dìrɔ́ (dìrɔ́ gè),dìrɔ́,d ì r ɔ́,,heathdogon,,,,,d ì r ɔ́,d ì r ɔ́ + ɡ è,d ì r ɔ́ + ɡ è,dìrɔ́_gè,
BankanTey-8579_tailofdogsheepetc-1,,BankanTey,8579_tailofdogsheepetc,dúrà,dúrà,d ú r à,,heathdogon,,,,,d ú r à,,,,
BenTey-8579_tailofdogsheepetc-1,,BenTey,8579_tailofdogsheepetc,dúrɔ̀,dúrɔ̀,d ú r ɔ̀,,heathdogon,,,,,d ú r ɔ̀,,,,
Bunoge-8579_tailofdogsheepetc-1,,Bunoge,8579_tailofdogsheepetc,dílɔ̀,dílɔ̀,d í l ɔ̀,,heathdogon,,,,,d í l ɔ̀,,,,
DogulDomBendiely-8579_tailofdogsheepetc-1,,DogulDomBendiely,8579_tailofdogsheepetc,dúlò,dúlò,d ú l ò,,heathdogon,,,,,d ú l ò,,,,
DogulDomKundialang-8579_tailofdogsheepetc-1,,DogulDomKundialang,8579_tailofdogsheepetc,dúlɔ̀:,dúlɔ̀:,d ú l ɔ̀ː,,heathdogon,,,,,d ú l ɔ̀ː,,,,
DonnoSo-8579_tailofdogsheepetc-1,,DonnoSo,8579_tailofdogsheepetc,dúlɔ̀,dúlɔ̀,d ú l ɔ̀,,heathdogon,,,,,d ú l ɔ̀,,,,
Gourou-8579_tailofdogsheepetc-1,,Gourou,8579_tailofdogsheepetc,dùrɔ́,dùrɔ́,d ù r ɔ́,,heathdogon,,,,,d ù r ɔ́,,,,
JamsayDouentza-8579_tailofdogsheepetc-1,,JamsayDouentza,8579_tailofdogsheepetc,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
Mombo-8579_tailofdogsheepetc-1,,Mombo,8579_tailofdogsheepetc,dúlɔ́,dúlɔ́,d ú l ɔ́,,heathdogon,,,,,d ú l ɔ́,,,,
Najamba-8579_tailofdogsheepetc-1,,Najamba,8579_tailofdogsheepetc,dúlɔ̀:\\dúlɛ̀:,dúlɔ̀:,d ú l ɔ̀ː,,heathdogon,,,,,d ú l ɔ̀ː,d ú l ɛ̀ː,d ú l ɛ̀ː,dúlɛ̀:,
Nanga-8579_tailofdogsheepetc-1,,Nanga,8579_tailofdogsheepetc,dúrâ,dúrâ,d ú r â,,heathdogon,,,,,d ú r â,,,,
Penange-8579_tailofdogsheepetc-1,,Penange,8579_tailofdogsheepetc,dìlɔ̀,dìlɔ̀,d ì l ɔ̀,,heathdogon,,,,,d ì l ɔ̀,,,,
PergeTegu-8579_tailofdogsheepetc-1,,PergeTegu,8579_tailofdogsheepetc,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
TebulUre-8579_tailofdogsheepetc-1,,TebulUre,8579_tailofdogsheepetc,dúlá:,dúlá:,d ú l áː,,heathdogon,,,,,d ú l áː,,,,
Tiranige-8579_tailofdogsheepetc-1,,Tiranige,8579_tailofdogsheepetc,dìlɔ̀,dìlɔ̀,d ì l ɔ̀,,heathdogon,,,,,d ì l ɔ̀,,,,
TogoKan-8579_tailofdogsheepetc-1,,TogoKan,8579_tailofdogsheepetc,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
TommoSoTongoTongo-8579_tailofdogsheepetc-1,,TommoSoTongoTongo,8579_tailofdogsheepetc,dúlɔ́,dúlɔ́,d ú l ɔ́,,heathdogon,,,,,d ú l ɔ́,,,,
TomoKanSegue-8579_tailofdogsheepetc-1,,TomoKanSegue,8579_tailofdogsheepetc,jìlá,jìlá,dʒ ì l á,,heathdogon,,,,,dʒ ì l á,,,,
ToroTegu-8579_tailofdogsheepetc-1,,ToroTegu,8579_tailofdogsheepetc,báná,báná,b á n á,,heathdogon,,,,,b á n á,,,,
YandaDom-8579_tailofdogsheepetc-1,,YandaDom,8579_tailofdogsheepetc,dùlɔ́,dùlɔ́,d ù l ɔ́,,heathdogon,,,,,d ù l ɔ́,,,,
YornoSo-8579_tailofdogsheepetc-1,,YornoSo,8579_tailofdogsheepetc,dúlɔ̀,dúlɔ̀,d ú l ɔ̀,,heathdogon,,,,,d ú l ɔ̀,,,,
BankanTey-8580_tailofscorpion-1,,BankanTey,8580_tailofscorpion,dúrà,dúrà,d ú r à,,heathdogon,,,,,d ú r à,,,,
BenTey-8580_tailofscorpion-1,,BenTey,8580_tailofscorpion,dúrɔ̀,dúrɔ̀,d ú r ɔ̀,,heathdogon,,,,,d ú r ɔ̀,,,,
Bunoge-8580_tailofscorpion-1,,Bunoge,8580_tailofscorpion,dílɔ̀,dílɔ̀,d í l ɔ̀,,heathdogon,,,,,d í l ɔ̀,,,,
DogulDomKundialang-8580_tailofscorpion-1,,DogulDomKundialang,8580_tailofscorpion,dúlɔ̀:,dúlɔ̀:,d ú l ɔ̀ː,,heathdogon,,,,,d ú l ɔ̀ː,,,,
DonnoSo-8580_tailofscorpion-1,,DonnoSo,8580_tailofscorpion,dúlɔ̀,dúlɔ̀,d ú l ɔ̀,,heathdogon,,,,,d ú l ɔ̀,,,,
JamsayDouentza-8580_tailofscorpion-1,,JamsayDouentza,8580_tailofscorpion,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
Mombo-8580_tailofscorpion-1,,Mombo,8580_tailofscorpion,dúlɔ́,dúlɔ́,d ú l ɔ́,,heathdogon,,,,,d ú l ɔ́,,,,
Najamba-8580_tailofscorpion-1,,Najamba,8580_tailofscorpion,dúlɔ̀:\\dúlɛ̀:,dúlɔ̀:,d ú l ɔ̀ː,,heathdogon,,,,,d ú l ɔ̀ː,d ú l ɛ̀ː,d ú l ɛ̀ː,dúlɛ̀:,
Nanga-8580_tailofscorpion-1,,Nanga,8580_tailofscorpion,tàmbî,tàmbî,t à ⁿb î,,heathdogon,,,,,t à ⁿb î,,,,
Penange-8580_tailofscorpion-1,,Penange,8580_tailofscorpion,"kɛ̀mɛ̀ (""point"")",kɛ̀mɛ̀,k ɛ̀ m ɛ̀,,heathdogon,,,,,k ɛ̀ m ɛ̀,,,,
PergeTegu-8580_tailofscorpion-1,,PergeTegu,8580_tailofscorpion,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
TebulUre-8580_tailofscorpion-1,,TebulUre,8580_tailofscorpion,dúlá:,dúlá:,d ú l áː,,heathdogon,,,,,d ú l áː,,,,
Tiranige-8580_tailofscorpion-1,,Tiranige,8580_tailofscorpion,dìlɔ̀,dìlɔ̀,d ì l ɔ̀,,heathdogon,,,,,d ì l ɔ̀,,,,
TogoKan-8580_tailofscorpion-1,,TogoKan,8580_tailofscorpion,dúrɔ́,dúrɔ́,d ú r ɔ́,,heathdogon,,,,,d ú r ɔ́,,,,
TommoSoTongoTongo-8580_tailofscorpion-1,,TommoSoTongoTongo,8580_tailofscorpion,mòòmíó dùlɔ̀,mòòmíó_dùlɔ̀,m ò ò m í ó + d ù l ɔ̀,,heathdogon,,,,,m ò.ò m í ó + d ù l ɔ̀,,,,
TomoKanSegue-8580_tailofscorpion-1,,TomoKanSegue,8580_tailofscorpion,jìlá,jìlá,dʒ ì l á,,heathdogon,,,,,dʒ ì l á,,,,
ToroTegu-8580_tailofscorpion-1,,ToroTegu,8580_tailofscorpion,báná,báná,b á n á,,heathdogon,,,,,b á n á,,,,
YandaDom-8580_tailofscorpion-1,,YandaDom,8580_tailofscorpion,dùlɔ́,dùlɔ́,d ù l ɔ́,,heathdogon,,,,,d ù l ɔ́,,,,
YornoSo-8580_tailofscorpion-1,,YornoSo,8580_tailofscorpion,dúlɔ̀,dúlɔ̀,d ú l ɔ̀,,heathdogon,,,,,d ú l ɔ̀,,,,
BankanTey-9518_wingofbird-1,,BankanTey,9518_wingofbird,jɛ̀ndɛ̂:,jɛ̀ndɛ̂:,dʒ ɛ̀ ⁿd ɛ̂ː,,heathdogon,,,,,dʒ ɛ̀ ⁿd ɛ̂ː,,,,
BenTey-9518_wingofbird-1,,BenTey,9518_wingofbird,gámjá,gámjá,ɡ á m dʒ á,,heathdogon,,,,,ɡ á m dʒ á,,,,
Bunoge-9518_wingofbird-1,,Bunoge,9518_wingofbird,gúbà,gúbà,ɡ ú b à,,heathdogon,,,,,ɡ ú b à,,,,
DogulDomBendiely-9518_wingofbird-1,,DogulDomBendiely,9518_wingofbird,gáámbùrù,gáámbùrù,ɡ á á ∼ ⁿb ù r ù,,heathdogon,,,,,ɡ á.á ∼ ⁿb ù r ù,,,,
DogulDomKundialang-9518_wingofbird-1,,DogulDomKundialang,9518_wingofbird,gámbùrùŋ̀,gámbùrù-ŋ̀,ɡ á ⁿb ù r ù + ŋ ə̀,,heathdogon,,,,,ɡ á ⁿb ù r ù + ŋ.ə̀,,,,
DonnoSo-9518_wingofbird-1,,DonnoSo,9518_wingofbird,gámbùrù,gámbùrù,ɡ á ⁿb ù r ù,,heathdogon,,,,,ɡ á ⁿb ù r ù,,,,
Gourou-9518_wingofbird-1,,Gourou,9518_wingofbird,gámsá,gámsá,ɡ á m s á,,heathdogon,,,,,ɡ á m s á,,,,
JamsayDouentza-9518_wingofbird-1,,JamsayDouentza,9518_wingofbird,gámɲú,gámɲú,ɡ á m ɲ ú,,heathdogon,,,,,ɡ á m ɲ ú,,,,
JamsayMondoro-9518_wingofbird-1,,JamsayMondoro,9518_wingofbird,gámɲú,gámɲú,ɡ á m ɲ ú,,heathdogon,,,,,ɡ á m ɲ ú,,,,
Mombo-9518_wingofbird-1,,Mombo,9518_wingofbird,kárákárá,kárá-kárá,k á r á + k á r á,,heathdogon,,,,,k á r á + k á r á,,,,
Najamba-9518_wingofbird-1,,Najamba,9518_wingofbird,kàkàrâ:\\kàkàrɛ̂:,kàkàrâ:,k à k à r âː,,heathdogon,,,,,k à k à r âː,k à k à r ɛ̂ː,k à k à r ɛ̂ː,kàkàrɛ̂:,
Nanga-9518_wingofbird-1,,Nanga,9518_wingofbird,"kàkásâ, jɛ̀rɛ́",kà-kásâ,k à + k á s â,,heathdogon,,,,,k à + k á s â,,,,
Penange-9518_wingofbird-1,,Penange,9518_wingofbird,gùbà,gùbà,ɡ ù b à,,heathdogon,,,,,ɡ ù b à,,,,
PergeTegu-9518_wingofbird-1,,PergeTegu,9518_wingofbird,gámjá,gámjá,ɡ á m dʒ á,,heathdogon,,,,,ɡ á m dʒ á,,,,
TebulUre-9518_wingofbird-1,,TebulUre,9518_wingofbird,kákárá,ká-kárá,k á + k á r á,,heathdogon,,,,,k á + k á r á,,,,
Tiranige-9518_wingofbird-1,,Tiranige,9518_wingofbird,pɛ̀nɛ̀pɛ̀nɛ̀,pɛ̀nɛ̀-pɛ̀nɛ̀,p ɛ̀ n ɛ̀ + p ɛ̀ n ɛ̀,,heathdogon,,,,,p ɛ̀ n ɛ̀ + p ɛ̀ n ɛ̀,,,,
TogoKan-9518_wingofbird-1,,TogoKan,9518_wingofbird,gáɲá,gáɲá,ɡ á ɲ á,,heathdogon,,,,,ɡ á ɲ á,,,,
TommoSoTongoTongo-9518_wingofbird-1,,TommoSoTongoTongo,9518_wingofbird,kákárú,ká-kárú,k á + k á r ú,,heathdogon,,,,,k á + k á r ú,,,,
TomoKanSegue-9518_wingofbird-1,,TomoKanSegue,9518_wingofbird,gànjá,gànjá,ɡ à ⁿdʒ á,,heathdogon,,,,,ɡ à ⁿdʒ á,,,,
ToroTegu-9518_wingofbird-1,,ToroTegu,9518_wingofbird,jɛ̀tá,jɛ̀tá,dʒ ɛ̀ t á,,heathdogon,,,,,dʒ ɛ̀ t á,,,,
YandaDom-9518_wingofbird-1,,YandaDom,9518_wingofbird,kàgádà,kàgádà,k à ɡ á d à,,heathdogon,,,,,k à ɡ á d à,,,,
