ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Grouped_Segments,Grouped_Plural_Segments,Plural_Segments,Plural_Form,Dialect
TogoKan-3599_domesticanimalesplivestock-1,,TogoKan,3599_domesticanimalesplivestock,gìrⁿí árúsɛ̀gɛ̀,gìrⁿí_árúsɛ̀gɛ̀,ɡ ì r ∼ í + á r ú s ɛ̀ ɡ ɛ̀,,heathdogon,,,,,ɡ ì r ∼ í + á r ú s ɛ̀ ɡ ɛ̀,ɡ ì r ∼ í + á r ú + s ɛ̀ ɡ ɛ̀,ɡ ì r ∼ í + á r ú + s ɛ̀ ɡ ɛ̀,gìrⁿí_árú_sɛ̀gɛ̀,
TommoSoTongoTongo-3599_domesticanimalesplivestock-1,,TommoSoTongoTongo,3599_domesticanimalesplivestock,"gìnɛ̀ý bɛ̀lù, bɛ̀lú",gìnɛ̀-ý_bɛ̀lù,ɡ ì n ɛ̀ + ý + b ɛ̀ l ù,,heathdogon,,,,,ɡ ì n ɛ̀ + ý + b ɛ̀ l ù,ɡ i + n ɛ + j + b ɛ l u ⁿb e,ɡ i + n ɛ + j + b ɛ l u ⁿb e,gi-nɛ-y_bɛlu=mbe,
TomoKanDiangassagou-3599_domesticanimalesplivestock-1,,TomoKanDiangassagou,3599_domesticanimalesplivestock,dá:bá:,dá:bá:,d áː b áː,,heathdogon,,,,,d áː b áː,d aː b aː + w e,d aː b aː + w e,da:ba:-we,
ToroTegu-3599_domesticanimalesplivestock-1,,ToroTegu,3599_domesticanimalesplivestock,àrùzàká ~ àrzàgá,àrùzàká,à r ù z à k á,,heathdogon,,,,,à r ù z à k á,a r u + z a k a + m ǎː,a r u + z a k a + m ǎː,aru_zaka-mǎ:,
YandaDom-3599_domesticanimalesplivestock-1,,YandaDom,3599_domesticanimalesplivestock,àzɛ̀gɛ̀\\mú ~ àsɛ̀gɛ̀\\mú,à_sɛ̀gɛ̀,à + s ɛ̀ ɡ ɛ̀,,heathdogon,,,,,à + s ɛ̀ ɡ ɛ̀,à + s ɛ̀ ɡ ɛ̀ + m ú,à + s ɛ̀ ɡ ɛ̀ + m ú,à_sɛ̀gɛ̀-mú,
YornoSo-3599_domesticanimalesplivestock-1,,YornoSo,3599_domesticanimalesplivestock,àrùsɛ̀gɛ́,àrù_sɛ̀gɛ́,à r ù + s ɛ̀ ɡ ɛ́,,heathdogon,,,,,à r ù + s ɛ̀ ɡ ɛ́,a r u + s ɛ ɡ ɛ + b è,a r u + s ɛ ɡ ɛ + b è,aru_sɛgɛ-bè,
BankanTey-2771_camel-1,,BankanTey,2771_camel,ɔ̀:ɲɛ̂ⁿm\\ɔ̀:ɲɛ̂ⁿ,ɔ̀:_ɲɛ̂ⁿ-m,ɔ̀ː + ɲ ɛ̂ ∼ + m,,heathdogon,,,,,ɔ̀ː + ɲ ɛ̂ ∼ + m,ɔ̀ː + ɲ ɛ̂ ∼,ɔ̀ː + ɲ ɛ̂ ∼,ɔ̀:_ɲɛ̂ⁿ,
BenTey-2771_camel-1,,BenTey,2771_camel,ɔ̀:ɲùwⁿɔ̂m,ɔ̀:_ɲùwⁿɔ̂-m,ɔ̀ː + ɲ ù w ə ∼ ɔ̂ + m,,heathdogon,,,,,ɔ̀ː + ɲ ù w.ə ∼ ɔ̂ + m,,,,
Bunoge-2771_camel-1,,Bunoge,2771_camel,ɲɔ́ŋɔ́mɛ̀,ɲɔ́ŋɔ́-mɛ̀,ɲ ɔ́ ŋ ɔ́ + m ɛ̀,,heathdogon,,,,,ɲ ɔ́ ŋ ɔ́ + m ɛ̀,,,,
DogulDomBendiely-2771_camel-1,,DogulDomBendiely,2771_camel,yɔ́ŋùmɛ̀,yɔ́ŋù-mɛ̀,j ɔ́ ŋ ù + m ɛ̀,,heathdogon,,,,,j ɔ́ ŋ ù + m ɛ̀,,,,
