Grapheme	IPA
ɪ̀ɪ̀ⁿ	ɪ̀ɪ̀ⁿ/ɪ̃ː
î:ⁿ	î:ⁿ/ĩː
ĩ́ĩ̀	ĩ́ĩ̀ /ĩː
íìⁿ	íìⁿ/ĩː
ɪ́ɪ̀ⁿ	ɪ́ɪ̀ⁿ/ɪ̃ː
ǐ:ⁿ	ǐ:ⁿ/ĩː
ĩ̀ĩ́	ĩ̀ĩ́/ĩː
ìíⁿ	ìíⁿ/ĩː
ɪ̀ɪ́ⁿ	ɪ̀ɪ́ⁿ/ɪ̃ː
i᷈:ⁿ	i᷈:ⁿ/ĩː
y	j
yᵇ	yᵇ/y
ý	j́/y
ỳ	j̀/y
yⁿ	yⁿ/ỹ
yⁿ̀	yⁿ̀/ỹ
ýⁿ	ýⁿ/ỹ
^:r	r
áà:y	áà:y/aːi
àà:	àà:/aː
àá:	àá:/aː
ɛ́ɛ̀:	ɛ́ɛ̀:/ɛː
Ǹ	Ǹ/n
èé:	èé:/eː
ìí:	ìí:/iː
ỳⁿ	ỳⁿ/ỹ
ɔ̌:́	ɔ̌:́/ɔ̃ː
ŷⁿ	ŷⁿ/ỹ
ʄ	ʄ
y:	yː
k	k
ḱ	k
ɛ̀ɛ́:ⁿ	ɛ̀ɛ́:ⁿ/ɛ̃ː
kʷ	kʷ
l	l
-_	+
ĺ	l
_-	+
_-$	NULL
-_$	NULL
_X-	+
l̀	l
l:	lː
:m	m
m	m
ḿ	ḿ/m
m̀	m̀/m
m̀ᵇ	m̀ᵇ/m
m̀:	m̀:/mː
àwⁿ	àwⁿ/ãu
m:	m:/mː
_...-	+
n	n
a᷄:	a᷄:/aː
ɛⁿ́	ɛⁿ́/ɛ̃
ɛ́́	ɛ́́/ɛ
N-	n
ñ	n
nⁿ	n
æ̂ⁿ	æ̂ⁿ/æ̃
ýⁿ́	ýⁿ́/ỹ
^:-	NULL
^̌	NULL
-́_	+
^́	NULL
^̌_	NULL
u᷈:ⁿ	u᷈:ⁿ/ũː
-́_X=	+
_:_	NULL
_ː_	NULL
â:-ⁿ	â:-ⁿ/ãː
ɔ́́	ɔ́́/ɔ
ń	ń/n
ǹ	ǹ/n
Ǹ-	ǹ/n
ǹ:	ǹ/ɲ
ɲ	ɲ/ɲ
ɲ́	ɲ́/ɲ
ɲ̀	ɲ̀/ɲ
ɳ	ɲ
2	NULL
-	+
̀	NULL
!	NULL
.	NULL
/	NULL
-:	+
;	NULL
?	NULL
?#	NULL
=	NULL
=:	NULL
>	NULL
∅	NULL
∴	NULL
≡	NULL
→	NULL
⇒	NULL
…	NULL
B	NULL
C	NULL
D	NULL
g#	NULL
H	NULL
L	NULL
l#	NULL
O	NULL
Ú	NULL
V	NULL
X	NULL
=-ʸŋ	ʲŋ
Y	NULL
ꜜ	NULL
=∴	NULL
ŋ	ŋ
ŋ́	ŋ́/ŋ
ŋ̀	ŋ̀/ŋ
ŋʷ	ŋʷ
o	o
o̯	o
ó	ó/o
ò	ò/o
ò̀	ò/o
ô	ô/o
ǒ	ǒ/o
ṍ	ṍ/o
óⁿ	ṍ/õ
õ̀	õ̀/õ
